R&D Spend,Administration,Marketing Spend,State,Profit
165349.2,136897.8,471784.1,New York,192261.83
162597.7,151377.59,443898.53,California,191792.06
153441.51,101145.55,407934.54,Florida,191050.39
144372.41,118671.85,383199.62,New York,182901.99
142107.34,91391.77,366168.42,Florida,166187.94
131876.9,99814.71,362861.36,New York,156991.12
134615.46,147198.87,127716.82,California,156122.51
130298.13,145530.06,323876.68,Florida,155752.6
120542.52,148718.95,311613.29,New York,152211.77
123334.88,108679.17,304981.62,California,149759.96
101913.08,110594.11,229160.95,Florida,146121.95
100671.96,91790.61,249744.55,California,144259.4
93863.75,127320.38,249839.44,Florida,141585.52
91992.39,135495.07,252664.93,California,134307.35
119943.24,156547.42,256512.92,Florida,132602.65
114523.61,122616.84,261776.23,New York,129917.04
78013.11,121597.55,264346.06,California,126992.93
94657.16,145077.58,282574.31,New York,125370.37
91749.16,114175.79,294919.57,Florida,124266.9
86419.7,153514.11,0.0,New York,122776.86
76253.86,113867.3,298664.47,California,118474.03
78389.47,153773.43,299737.29,New York,111313.02
73994.56,122782.75,303319.26,Florida,110352.25
67532.53,105751.03,304768.73,Florida,108733.99
148814.28000000003,130052.90999999999,401016.485,New York,173035.647
147963.907,145322.4864,381752.7358,California,175489.7349
141166.18920000002,98111.1835,354903.0498,Florida,177676.86270000003
134266.3413,116298.413,337215.6656,New York,172842.38055
133580.8996,90477.8523,325889.89379999996,Florida,159540.4224
125283.05500000001,99814.71,326575.224,New York,153066.342
129230.84159999999,148670.85869999998,116222.30619999999,California,154561.2849
126389.1861,148440.6612,297966.54559999995,Florida,156531.363
118131.66960000001,153180.5185,289800.3597,New York,155256.0054
122101.5312,113026.3368,286682.7228,California,155001.55860000002
101913.08,116123.81550000001,217702.9025,Florida,153428.04750000002
101678.6796,97298.0466,239754.76799999998,California,153636.261
95741.02500000001,136232.80659999998,242344.2568,Florida,152912.3616
94752.1617,146334.67560000002,247611.63139999998,California,147066.54825
124740.96960000001,170636.68779999999,253947.79080000002,Florida,147188.94150000002
120249.7905,134878.52399999998,261776.23,New York,146156.66999999998
82693.89660000001,134973.2805,266989.5206,California,144771.9402
101283.16120000002,162486.88959999997,288225.7962,New York,144802.77735
99089.09280000001,129018.64269999998,303767.1571,Florida,145392.273
94197.473,175006.08539999998,0.0,New York,145490.5791
83879.24600000001,130947.39499999999,313597.6935,California,142168.83599999998
87012.3117,178377.17879999997,317721.5274,New York,135245.3193
82873.9072,143655.8175,324551.6082,Florida,135733.2675
76311.7589,124786.21539999999,329150.2284,Florida,135373.81755
169648.27920000005,154762.96289999998,437107.96864999994,New York,218024.91522
