Experience,Salary
20,78637.83
4,39932.84
15,96803.04
16,85282.35
3,15871.52
12,38515.61
4,53624.52
18,72015.14
11,60339.41
3,11345.78
8,36934.50
12,71003.13
13,83525.42
17,85114.06
19,99561.47
19,83933.30
4,28613.96
16,93685.05
7,35484.16
16,53524.99
20,26672.68
4,70126.72
19,27289.51
6,51729.94
18,18403.46
9,90433.43
1,57354.87
13,51804.69
5,33583.70
3,68832.81
15,97659.44
15,87881.52
18,91575.57
8,61100.96
5,17934.96
9,49027.69
16,73775.32
6,10941.36
11,71312.64
1,45519.63
17,63793.32
16,69062.62
17,45320.56
11,54061.88
8,52824.43
5,21270.85
8,60478.83
8,59163.61
12,58971.81
13,20252.46
17,89257.43
17,78307.03
2,57502.75
7,76162.53
6,43001.75
1,25790.62
8,66007.96
19,48372.72
2,24898.35
9,32879.86
19,84834.17
14,22942.50
11,56864.51
12,55221.42
13,51787.45
17,11535.38
10,33298.08
18,22809.12
11,95604.57
17,14384.28
5,77945.87
11,91013.82
12,88936.21
3,20797.78
13,40711.49
12,93551.28
17,26264.32
14,59780.16
9,56066.70
1,38570.17
10,38498.04
11,19902.56
8,21422.65
2,88794.18
7,69927.06
5,15164.68
18,58544.71
16,48996.06
20,16385.14
19,36543.64
3,85051.36
18,43679.24
18,33620.65
20,98365.60
13,48997.81
2,72230.00
14,13488.33
2,95962.02
14,45523.68
8,26426.39
